u,g,r,i,z,class
22.50961,21.00053,20.37122,20.14358,19.96108,GALAXY
24.02219,20.57676,18.59011,17.91181,17.46025,GALAXY
23.19019,20.20138,18.48589,17.82312,17.40056,GALAXY
19.72725,18.24207,17.65169,17.28164,17.07238,GALAXY
22.5704,20.07732,18.35674,17.77874,17.37334,GALAXY
21.32339,20.60126,18.65203,17.97806,17.52311,GALAXY
19.95979,18.54933,17.86044,17.40986,17.13677,GALAXY
20.54582,18.55428,17.56467,17.16102,16.79501,GALAXY
23.72638,21.07027,19.15785,18.2861,17.79832,GALAXY
19.67665,19.38168,18.94512,18.86648,18.93097,QSO
20.69698,18.76064,17.46105,16.92645,16.50703,GALAXY
21.44977,19.01171,17.80546,17.22904,16.80334,GALAXY
20.84393,18.83208,17.74412,17.28843,16.88049,GALAXY
23.59194,22.52098,20.81702,19.81798,19.2905,GALAXY
19.43536,17.70268,16.91565,16.58327,16.39128,GALAXY
18.87574,17.02165,16.11087,15.66298,15.34988,GALAXY
26.59591,22.21559,20.41376,19.4717,19.0957,GALAXY
19.9422,18.78075,18.18205,17.81085,17.63526,GALAXY
19.26219,17.47548,16.4758,16.02334,15.64441,GALAXY
24.23472,23.26942,21.36862,20.14832,19.69585,QSO
21.02965,18.66884,17.45672,16.91771,16.53463,GALAXY
20.73452,18.7751,17.70627,17.06986,16.58429,GALAXY
23.75245,22.28592,20.4139,19.39408,18.85271,GALAXY
19.47897,17.64455,16.69021,16.26843,15.91963,GALAXY
26.16544,23.25822,21.23095,20.17597,19.52475,GALAXY
26.15746,22.29714,20.6319,19.40998,18.85724,GALAXY
22.04641,21.35361,19.61057,18.82336,18.34417,GALAXY
19.41774,18.08611,17.40901,17.02097,16.77471,GALAXY
23.3008,21.24778,21.0376,20.8717,21.14134,QSO
19.79759,18.28187,17.56563,17.18211,16.86397,GALAXY
23.56264,22.00346,20.3919,19.41696,18.99681,GALAXY
22.99962,21.26077,19.80491,18.95539,18.60267,GALAXY
24.44819,22.91593,20.95959,20.27227,19.9212,GALAXY
23.29717,22.52373,21.01938,20.04985,19.47339,GALAXY
19.72281,19.42307,19.01846,18.87355,18.75522,QSO
23.60738,22.66635,20.65107,19.71762,19.49884,GALAXY
25.67124,22.80718,21.03362,19.846,19.26994,GALAXY
24.22272,21.51156,19.60077,18.9221,18.35833,GALAXY
23.76095,23.00281,20.60403,19.36932,18.70847,GALAXY
24.54208,22.43441,20.61153,19.62805,19.15481,GALAXY
19.05103,17.4955,16.66673,16.16725,15.82637,GALAXY
22.29912,21.3873,20.66717,19.69699,19.43432,GALAXY
24.84318,21.68273,19.75088,18.8073,18.35561,GALAXY
20.51943,19.77918,19.59546,19.60668,19.42987,QSO
22.11037,20.48136,18.82684,18.20054,17.80883,GALAXY
21.97523,22.58137,20.68457,19.66981,19.30147,GALAXY
19.95533,18.19501,17.3326,16.96074,16.63458,GALAXY
22.30477,22.34754,21.07057,20.05676,19.62537,GALAXY
24.64564,24.06556,21.33701,19.92251,19.43803,GALAXY
20.21543,18.46148,17.45238,16.96622,16.60781,GALAXY
22.86993,21.82554,20.89742,20.06654,19.50329,GALAXY
23.42927,22.40939,20.43048,19.27872,18.48528,GALAXY
20.41932,18.54324,17.58036,17.13664,16.8284,GALAXY
22.5965,20.49161,18.79399,18.11732,17.68106,GALAXY
23.37814,21.05014,19.29868,18.6428,18.17791,GALAXY
22.49714,21.84279,21.80893,21.54977,21.10743,QSO
24.14792,23.32945,21.83642,20.65238,20.29579,GALAXY
21.52118,19.65982,18.16735,17.56115,17.14694,GALAXY
22.87012,22.16257,20.71588,19.8327,19.43179,GALAXY
27.95074,19.75137,18.3063,17.82485,18.37444,GALAXY
22.47091,21.75262,21.89894,21.65017,21.32903,QSO
22.96305,23.26542,21.13941,19.8788,19.31756,GALAXY
26.2485,22.90687,21.05953,19.86717,19.46591,GALAXY
17.35397,16.43687,15.8447,15.44321,15.12936,QSO
25.30957,22.77686,20.97203,19.78887,19.29867,GALAXY
22.36735,20.33672,18.56858,17.86226,17.27213,GALAXY
19.77612,19.40223,19.20024,19.23711,19.09879,QSO
