spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class,subclass
42.45366,55.93938,45.10442,35.35888,26.42946,STAR,WD
54.01418,56.64076,43.70662,35.18061,30.96364,STAR,A0
17.34701,18.77528,12.96268,9.433348,9.346218,STAR,WD
279.1004,237.097,170.5091,130.5968,105.6826,STAR,B9
84.7747,122.5222,114.3435,98.84444,84.77132,STAR,WD
13.66388,14.90133,12.56267,9.672554,7.426486,STAR,T2
17.86411,22.46765,17.74369,13.7389,11.13003,STAR,WD
47.59852,37.15632,23.79687,17.32869,13.53213,STAR,T2
63.41762,62.70131,46.45061,35.08219,26.88102,STAR,OB
207.7106,162.8227,113.595,87.68716,71.26846,STAR,WD
163.9652,128.302,92.65824,72.51305,59.31897,STAR,O
7.395187,12.43936,20.39695,27.13395,32.95058,STAR,K3
17.2917,14.9907,14.4403,17.15187,20.12847,STAR,M2
2.982142,3.139129,2.245307,1.500157,0.8280076,STAR,WD
4.365624,6.867683,6.636551,5.610827,4.589579,STAR,WD
8.121906,11.15366,10.19586,8.211174,6.424592,STAR,WD
4.865478,6.730267,6.052668,5.041331,4.412941,STAR,WD
15.84579,21.93697,20.42273,17.6938,15.46522,STAR,WD
36.32442,41.91986,34.92638,28.45037,23.88995,STAR,WD
12.47292,16.32425,13.2261,10.78818,9.35556,STAR,WD
47.30196,64.95533,56.27879,46.96079,39.59777,STAR,WD
8.800826,7.775941,5.577228,4.130556,3.06395,STAR,WD
1.248307,0.3766689,0.1714524,0.006363118,0.6199469,STAR,M2
77.52271,94.36882,85.75952,75.02001,63.57758,STAR,WD
23.2142,32.93373,29.16628,24.7499,20.60996,STAR,WD
16.35354,21.82945,17.3878,13.49594,11.45096,STAR,WD
4.898117,7.981198,5.798754,5.402352,4.925063,STAR,WD
18.17185,17.00037,11.97899,6.448866,3.219965,STAR,WD
64.38544,78.69275,65.85508,54.95112,45.92592,STAR,WD
20.84099,21.09274,15.52897,11.53995,8.39877,STAR,WD
92.01308,63.2842,37.08982,26.27098,19.78518,STAR,B9
18.43861,19.00551,13.78236,10.40281,7.50129,STAR,WD
62.73081,59.22028,41.2452,31.15464,21.63318,STAR,A0
37.24207,45.07565,36.66752,29.60724,23.29704,STAR,WD
6.011336,5.884505,3.264749,2.112735,0.83825,STAR,WD
21.28425,33.41195,30.19602,25.17802,19.85253,STAR,WD
18.83775,23.61289,17.23679,13.37234,10.13703,STAR,WD
30.90496,27.63894,18.91748,14.35133,12.78638,STAR,WD
805.5723,797.0468,592.4566,466.1176,390.3606,STAR,A0p
63.34569,52.92318,35.55883,26.02477,18.97571,STAR,B6
18.44906,24.81942,20.57948,16.56958,12.2799,STAR,WD
18.74053,21.97619,16.66128,13.54099,9.976516,STAR,WD
61.93547,55.42196,43.98509,36.05543,30.99367,STAR,OB
132.8542,168.1773,137.2389,110.8479,85.36442,STAR,WD
37.69701,33.85354,22.2394,16.12417,13.92761,STAR,WD
126.4099,320.0405,520.7007,616.5162,664.1061,STAR,F9
108.8767,242.4194,396.1555,477.0964,523.5285,STAR,F9
25.15848,21.29492,16.89538,14.43062,11.15887,STAR,A0p
358.3025,345.7892,314.7143,302.1289,292.4795,STAR,A0
160.0193,139.332,100.4029,80.06521,67.16048,STAR,A0p
42.05807,51.99592,41.64166,38.17408,42.233,STAR,WD
170.1695,154.3037,116.0415,91.24464,74.66426,STAR,OB
