class,subclass,mag_u,mag_g,mag_r,mag_i,mag_z,redshift,flux_u,flux_g,flux_r,flux_i,flux_z,photRA,specRA,photDec,specDec,petrosianRadius_u,deVEffectiveRadius_u,petrosianRadius_z,deVEffectiveRadius_z
GALAXY,STARFORMING,19.91939,18.59097,17.77801,17.29599,17.06204,0.1315038,5.911876,11.15556,24.06218,37.17847,48.67002,146.7417463,146.74174,-0.524666643,-0.52469154,4.776801,3.779893,4.852643,5.116303
GALAXY,STARFORMING,17.1546,15.9632,15.4436,15.18157,15.00243,0.006036635,15.84292,26.42311,41.92442,52.04102,61.55117,146.6190107,146.61904,-0.43428756,-0.43432227,13.23716,26.67512,13.34413,20.56899
GALAXY,AGN,19.38432,17.63378,16.71201,16.23913,15.88249,0.0893447,7.674541,23.58456,58.43842,93.35743,124.5347,146.6296294,146.62966,-0.46566053,-0.46568888,6.674586,9.235003,5.379665,3.13299
GALAXY,STARFORMING,19.9874,18.3857,17.67394,17.26766,16.94099,0.0456523,2.39568,6.283848,13.72149,21.12116,27.39986,146.5944721,146.59449,-0.133158614,-0.13317431,27.91255,29.65946,8.872966,19.42689
GALAXY,STARFORMING,18.91808,17.66467,16.97991,16.55797,16.32081,0.1215208,7.357577,17.82248,39.18219,61.5925,79.69969,146.6036165,146.60365,-0.191463035,-0.19149282,6.729901,14.98003,5.207464,5.53103
GALAXY,STARFORMING,20.66614,18.93487,17.86389,17.31169,16.88358,0.06934141,2.270781,9.272182,26.9169,47.86642,68.77917,146.6613396,146.66136,-0.103348063,-0.1033698,11.30301,17.53215,4.299568,4.949037
QSO,BROADLINE,19.1079,18.92201,18.59314,18.47573,18.40461,1.4047,19.59656,21.351,31.8529,35.68506,37.95486,145.5938073,145.59384,0.278308382,0.27826036,1.445939,0.000275694,1.336918,0.1819285
GALAXY,STARFORMING,18.7196,17.22156,16.41532,15.96881,15.62269,0.03801033,22.79387,55.82669,118.882,182.2695,242.7444,145.9926346,145.99263,0.788073237,0.78807767,4.17943,3.326226,4.125164,3.188352
GALAXY,STARBURST,18.79792,17.73394,17.19519,16.86494,16.63138,0.0374546,12.36881,17.86588,26.85054,35.80294,41.20649,146.0122451,146.01225,0.765634264,0.76563817,7.772454,1.953423,8.979653,7.935555
GALAXY,AGN,19.8365,18.10935,17.1384,16.66297,16.30555,0.1232092,6.500061,21.81934,58.08405,92.91483,129.4677,146.0151296,146.01513,0.823517401,0.8235057,5.962097,3.75645,5.153138,1.705342
QSO,BROADLINE,19.53705,18.95792,18.82036,18.61323,18.55464,0.6928394,20.44932,29.68334,34.1875,40.55225,47.85509,146.0590335,146.05906,1.048536952,1.0485111,1.37482,0.106742,1.51783,0.1308144
GALAXY,STARFORMING,21.96303,21.22149,21.27031,21.46,21.5659,0.07947873,2.121397,5.884966,9.417206,13.12257,17.28979,11.01927805,11.019278,15.81352832,15.813528,1.438435,0.2140269,1.266007,0.1802271
QSO,BROADLINE,21.26468,21.17005,20.78239,20.39781,20.20064,2.00018,5.652185,4.481372,6.584408,8.906896,12.57859,11.01466783,11.014668,15.97553601,15.975536,3.638854,0.133395,3.77093,0.1577964
QSO,BROADLINE,22.17934,21.56826,21.62241,21.4232,21.24986,2.352393,0.5902453,1.505994,0.881685,1.073748,2.466172,11.04119107,11.041191,15.93890532,15.938905,1.820308,0.07081614,18.0177,4.805914
QSO,BROADLINE,18.73272,18.43472,18.70257,18.58262,18.55281,0.5176755,30.50752,38.36852,30.7882,34.89367,32.06676,145.9200409,145.92005,-0.783535142,-0.78353938,1.697729,0.1145702,1.358605,0.000164397
GALAXY,STARBURST,16.65063,15.84151,15.95444,16.67046,16.59802,0.0047763,82.20724,170.9939,163.3442,70.65352,73.13708,146.0078005,146.00779,-0.642274468,-0.64227163,6.614998,5.519615,6.253734,3.241407
QSO,BROADLINE,19.63224,19.11709,18.65159,18.39529,17.93342,0.2712803,13.3919,17.78712,27.71648,35.07523,52.91009,145.8983922,145.89838,-0.722792561,-0.72280608,2.187546,0.4014515,2.162097,0.5082085
GALAXY,STARBURST,17.34118,16.1396,15.77967,15.6476,15.71479,0.004080323,8.148953,14.93421,22.42169,25.90734,29.73507,146.1926261,146.19262,-0.688416609,-0.68840099,43.77192,29.66793,13.11422,29.66852
GALAXY,STARFORMING,19.20322,17.6678,16.74933,16.26662,15.93743,0.1231987,10.88368,33.27129,75.78455,118.1877,153.4511,146.4905478,146.49052,-0.369330521,-0.36931044,3.657551,2.740804,5.577946,2.244725
GALAXY,STARBURST,17.80526,16.60975,16.01056,15.66046,15.39482,0.03580831,28.96116,49.68472,90.44785,130.9207,165.9205,146.7517292,146.7517,-0.408402771,-0.40839151,5.929911,9.890776,6.3256,7.910223
GALAXY,AGN,19.20243,17.90559,17.10783,16.62104,16.35365,0.1225,9.008327,21.5375,47.53998,78.91486,98.6055,145.471342,145.47131,0.155196383,0.15515025,5.380568,2.326574,4.778296,3.339365
GALAXY,STARFORMING,20.63406,18.86124,17.92916,17.46579,17.15211,0.120346,5.243065,17.35517,42.67393,67.0594,92.53279,145.5556531,145.55565,0.183479432,0.18343852,2.746726,2.08538,2.428826,1.257746
GALAXY,STARFORMING,20.33416,18.83941,18.03528,17.60975,17.31521,0.09212417,4.461279,9.618518,21.14127,32.662,42.15035,146.6080705,146.60806,0.047678238,0.047679187,9.2306,8.629004,14.6735,4.544815
GALAXY,STARBURST,18.1697,17.51446,17.57963,17.29115,17.49613,0.05158934,43.11002,57.80376,64.43585,93.78736,96.20518,145.8912586,145.89128,1.116476735,1.1165244,2.65704,1.2689,4.015778,1.70645
QSO,BROADLINE,21.64638,21.52721,21.3333,21.25162,21.04079,0.8743844,2.153136,2.936716,3.560994,3.910871,5.485039,10.96735142,10.967351,15.68485918,15.684859,3.277744,0.491601,1.356453,0.6053601
GALAXY,STARFORMING,17.82477,16.48119,15.79143,15.38693,15.12157,0.07747766,25.63455,59.29271,120.38,177.3932,227.4352,153.3324812,153.33249,3.870644167,3.870636,5.731133,6.015037,4.998754,3.94804
GALAXY,STARFORMING,19.14029,18.00183,17.61484,17.3851,17.2252,0.02892721,9.725252,14.42331,23.51429,30.54348,34.37862,153.4647007,153.4647,4.047918805,4.047917,5.038359,7.834639,4.530269,6.045005
QSO,BROADLINE,20.1203,20.00856,19.86478,19.70092,19.70586,1.446375,11.44844,8.126269,10.34113,12.47065,13.11902,153.4464969,153.4465,3.87267824,3.872667,1.567501,0.1094645,1.618278,0.1894782
GALAXY,STARFORMING,19.14463,17.98831,17.37123,17.00986,16.7883,0.1049955,5.88492,13.6908,28.08326,39.93361,50.95654,153.3138452,153.31384,3.629861105,3.6298418,5.476193,5.689797,5.274205,5.655384
QSO,BROADLINE,19.73979,20.16751,19.60487,19.63654,19.6562,1.311347,17.19456,13.48876,18.95414,18.85218,20.40773,153.3515173,153.35153,3.803678823,3.8036611,1.612575,0.1103063,1.135512,0.1836996
GALAXY,STARFORMING,19.29772,18.19609,17.82819,17.57618,17.43653,0.04531588,10.93522,19.27304,28.40868,35.13804,39.77499,153.4208775,153.42089,3.638447752,3.6384316,4.044984,4.411451,4.323834,5.432649
GALAXY,STARFORMING,18.34161,17.13287,16.61483,16.33764,16.12847,0.03178727,7.976531,14.79596,28.0096,37.87434,47.16268,153.2536765,153.25368,4.060018127,4.0600296,13.53057,29.67128,10.41272,19.12286
QSO,BROADLINE,20.73879,20.32474,20.15295,19.94328,19.54057,0.7958332,6.753246,7.435007,8.457774,9.309701,12.25339,256.4352422,256.43524,37.90967461,37.909675,1.347306,0.003118098,2.075833,0.8341806
QSO,BROADLINE,20.69971,20.63881,20.54956,20.37811,20.19296,1.909553,4.53586,5.286826,6.434679,7.87388,9.41994,256.7295104,256.72951,37.39383926,37.393839,1.121629,0.001438775,1.278713,0.000350695
QSO,BROADLINE,20.84949,20.52127,20.39163,20.48359,20.3987,0.8624413,8.141682,8.404514,9.359049,9.0547,11.70859,256.6972634,256.69726,37.31976781,37.319768,1.617486,0.258608,1.049822,0.2067133
GALAXY,STARBURST,22.7936,21.62407,21.31975,20.93612,21.88605,0.1626606,1.248087,2.431075,4.039939,5.254466,5.577589,256.6595043,256.6595,37.28932958,37.28933,0.7155976,0.01496346,0.5534005,0.01311012
QSO,BROADLINE,20.23818,20.13337,19.92953,19.90299,19.76119,0.9432625,7.900423,7.044401,8.960518,9.261045,12.99006,256.6765037,256.6765,37.22182833,37.221828,1.4015,0.06946811,1.15849,0.2141869
GALAXY,STARBURST,22.25414,21.96285,21.68923,21.85374,21.10225,0.02705832,3.011971,4.852997,6.836778,8.111023,10.70731,256.6190736,256.61907,38.36985784,38.369858,1.251685,0.0636275,1.386704,0.4019952
GALAXY,STARBURST,21.74596,21.47606,21.341,21.02271,20.60278,0.4025487,2.154086,2.014263,2.497739,3.043891,3.983329,256.5387209,256.53872,38.27772733,38.277727,1.75061,1.154384,0.9412847,0.07868335
QSO,BROADLINE,21.47428,20.89476,20.74639,20.27577,19.9804,1.735725,4.089479,5.366878,6.740931,9.052708,10.33221,251.8704245,251.87042,38.96659002,38.96659,1.48386,0.2951513,1.239443,0.1241079
QSO,BROADLINE,23.65613,20.54801,19.71161,19.53513,19.33492,3.46069,2.508861,5.748306,13.53252,16.39861,18.81031,240.1828989,240.18293,51.74020905,51.7403,0.6814331,2.912408,1.51636,0.2053713
GALAXY,STARBURST,23.00747,21.57233,21.85784,21.72711,22.17783,0.05806096,3.375415,4.230099,5.272907,6.590788,6.522329,240.4307414,240.43079,51.79796652,51.79805,1.470814,0.3661004,1.044839,0.2959358
QSO,BROADLINE,20.01712,19.36622,19.13567,19.05913,18.81347,2.539076,7.273121,11.50969,14.96649,16.00431,19.61236,240.4605674,240.46062,51.76150948,51.761597,1.29886,0.1220893,1.122793,0.07869235
QSO,BROADLINE,22.01718,21.11143,21.14155,21.12485,21.08305,2.276394,0.811381,1.866762,2.015603,2.069904,2.268094,240.5544433,240.5545,51.62571037,51.625796,1.355257,0.000471656,2.078018,0.1640584
GALAXY,STARBURST,19.92517,19.11247,19.87473,19.29878,19.55221,0.05351396,6.038924,10.69998,7.58756,10.63185,8.545582,240.2173809,240.21737,52.43713296,52.4372,7.499236,0.1889382,3.260066,1.098755
QSO,STARBURST BROADLINE,20.04748,19.38722,18.9277,18.64674,18.6034,0.2231196,8.129692,14.45268,24.50419,32.48302,34.31968,240.4686642,240.46866,52.45013832,52.450197,1.351473,0.1304879,1.412368,0.2191862
QSO,BROADLINE,20.96836,19.93189,19.81526,19.95954,19.65411,2.7726,6.789838,11.73983,14.63475,13.55202,15.6764,240.4214159,240.42141,52.40810731,52.408165,4.338964,0.2263937,1.172963,0.000333068
QSO,BROADLINE,22.43198,21.11003,21.06211,21.05657,20.70222,2.570387,4.364167,6.54776,7.914673,7.803691,8.240123,240.5077485,240.50776,52.39059267,52.390653,2.318248,0.5212849,1.174223,0.2143808
