spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class,subclass
6.127223,16.37446,30.20265,38.16612,43.21087,STAR,F9
10.67005,29.59607,53.59575,67.64112,77.24831,STAR,F9
9.4486,25.86314,46.14673,58.04561,66.01191,STAR,F9
0.6903616,2.639864,6.609772,9.040903,10.89239,STAR,K1
1.696024,5.127242,11.38034,15.28857,18.13893,STAR,K1
1.93937,6.556342,14.39116,19.00653,22.24492,STAR,K1
2.038488,9.414086,19.35224,25.07453,29.21216,STAR,K1
1.15752,2.410492,5.197861,5.000532,7.860417,STAR,F9
1.535014,5.44757,11.53837,15.07731,20.65042,STAR,K1
9.165233,24.1362,46.44766,60.603,70.58684,STAR,F9
5.742188,14.81496,28.64068,38.47604,47.44009,STAR,F9
1.287113,4.877883,9.190451,11.00253,10.01062,STAR,G2
2.344896,5.778126,10.2515,12.99389,14.56254,STAR,F9
6.7006,19.23708,34.08348,41.24315,46.09985,STAR,F9
1.125234,4.318974,9.293927,12.05835,13.27276,STAR,K1
0.75899,1.642518,6.468079,45.18701,136.3336,STAR,M7
0.05737152,0.6592133,3.665047,22.99524,58.49255,STAR,M6
0.656696,3.056933,13.50103,71.85537,165.7228,STAR,M5
0.3743443,3.318757,7.773351,10.57776,12.21186,STAR,K1
4.604119,16.33524,31.68655,40.02445,44.01643,STAR,F9
3.507114,13.80631,28.38743,36.43828,40.79796,STAR,K1
3.224259,10.00101,18.60565,23.21527,25.45865,STAR,F9
4.855028,17.23513,34.74913,44.19084,48.78983,STAR,F9
2.747693,9.773383,19.33484,23.82273,25.24915,STAR,F9
0.5363383,4.362294,9.32289,12.16451,13.2569,STAR,K1
2.600441,6.246341,10.5077,12.74112,13.61186,STAR,F9
8.955153,26.55816,48.78684,62.17723,70.59645,STAR,F9
3.394792,10.22887,20.84754,26.65822,30.15061,STAR,K1
2.32634,5.807859,11.30252,14.46675,16.62887,STAR,K1
1.749177,4.655533,8.071379,10.38554,11.59035,STAR,F9
4.500867,12.49623,23.36932,29.37318,33.57017,STAR,F9
0.2336797,3.592801,7.979551,11.84355,17.86869,STAR,K5
3.727791,11.97385,23.81611,30.03621,33.61128,STAR,F9
9.545673,29.95281,59.55059,77.68928,92.33049,STAR,K1
5.232948,16.75281,32.88758,42.12265,48.18037,STAR,F9
1.035427,2.796784,6.006697,7.596235,7.973763,STAR,F9
2.428795,9.239719,18.54488,23.51103,26.46906,STAR,K1
0.6768749,0.5133966,2.987923,19.31746,49.49406,STAR,M6
25.2589,73.94879,129.755,157.7528,170.7651,STAR,F9
108.5311,370.5404,645.2359,770.871,829.4642,STAR,F9
65.18243,171.0815,281.8673,335.741,360.765,STAR,F9
80.59447,217.7188,369.4382,448.4008,490.2491,STAR,F9
20.18593,59.4366,104.5503,129.6017,143.9716,STAR,F9
36.16768,93.20591,155.7506,188.5428,206.0772,STAR,F9
33.03266,80.29233,132.7138,160.4133,177.428,STAR,F9
164.7515,471.1587,801.0542,958.913,1038.413,STAR,F9
17.0047,48.98077,86.58669,104.8028,118.2146,STAR,F9
227.4572,810.1128,1416.292,1682.743,1808.397,STAR,F9
34.48645,84.43594,139.4859,164.3571,175.7556,STAR,F9
20.34843,48.56266,81.74561,98.0507,106.6053,STAR,F9
39.37098,98.73671,166.776,200.8658,219.3231,STAR,F9
53.24404,153.5273,271.3219,333.3852,366.8428,STAR,F9
43.99689,121.5676,197.0684,231.7376,246.4681,STAR,F9
137.3508,403.808,663.8204,785.0505,840.7133,STAR,F9
-0.07907296,0.332654,1.766114,14.356,40.1934,STAR,M6
0.1563156,0.964681,3.607175,25.50787,68.28314,STAR,M6
1.273054,6.360212,22.44612,68.19911,120.2316,STAR,M4
0.5768225,1.301453,3.979503,18.52241,41.25961,STAR,M5
-0.4275103,0.1725091,2.749484,17.60092,44.7149,STAR,M6
0.9133524,1.588718,4.88678,24.81004,57.81569,STAR,M5
2.540016,16.82096,68.28182,236.7619,454.0037,STAR,M4
-0.05228528,0.1199404,1.419704,14.61508,43.85796,STAR,M7
-0.2197788,0.674242,5.220035,19.58892,38.43637,STAR,M4
0.5578653,2.930898,12.79081,79.41658,202.0866,STAR,M6
-0.1455489,0.6681751,4.507347,17.56315,36.88101,STAR,M3
0.1879319,1.220247,6.358429,25.46733,52.78052,STAR,M4
1.5494,10.57146,41.18404,208.353,477.6956,STAR,M5
-0.7501366,4.887362,25.62513,81.76686,154.9843,STAR,M3
-0.1553663,0.4943352,4.016062,15.99433,33.54462,STAR,M4
-0.1220248,0.4626403,3.632991,19.29378,48.87895,STAR,M5
0.02493501,2.387288,10.1047,44.00575,93.04501,STAR,M4
-0.02587788,0.32873,2.391287,11.25687,24.45238,STAR,M4
3.446769,22.34322,84.16385,335.2241,693.8936,STAR,M4
0.4660046,1.427698,5.406125,24.93333,60.09362,STAR,M5
0.8094068,1.275983,4.039539,14.91722,32.09026,STAR,M4
0.08088566,1.124474,4.2658,28.16876,68.88811,STAR,M6
1.889743,1.314953,5.193667,27.7259,63.3974,STAR,M5
-0.0819262,0.9922404,4.319315,25.16073,58.94865,STAR,M5
0.6835507,1.178181,3.989213,29.65206,86.53394,STAR,M7
0.569532,1.271307,4.829679,23.29335,54.59249,STAR,M5
-0.01314049,0.3027312,2.369922,18.48305,47.19688,STAR,M5
-0.1177103,1.035919,5.857296,44.21605,129.4866,STAR,M7
2.351306,2.221795,11.81481,81.09449,208.2474,STAR,M6
3.290575,6.533557,10.48091,12.32981,14.21218,STAR,F9
6.142975,10.28498,16.13845,18.67529,19.87375,STAR,F9
10.61352,34.09259,60.6037,72.77802,80.31424,STAR,F9
2.265369,11.12091,19.25424,22.91609,24.22683,STAR,F9
4.826457,12.84308,24.06965,30.65253,35.25079,STAR,G2
5.668086,13.24006,21.27508,25.32002,29.11502,STAR,F9
6.514788,16.91893,28.66465,34.08959,37.19343,STAR,F9
6.51116,23.24491,43.92496,53.56771,59.25241,STAR,K1
3.601002,6.592349,12.06611,14.82516,16.77682,STAR,F9
7.705843,8.391096,15.83508,19.04834,20.47915,STAR,L5.5
9.585807,31.05136,53.75176,63.44429,68.54516,STAR,F9
6.471663,12.10016,18.59374,21.34966,23.42595,STAR,F9
10.98723,32.47452,52.28114,60.65837,63.91725,STAR,F9
12.98702,35.08906,61.41105,74.23567,81.24731,STAR,F9
5.848786,10.63446,18.43559,22.02888,24.55261,STAR,K1
4.659147,4.38186,8.306746,10.60754,12.04232,STAR,K3
9.583026,23.67298,40.07985,47.29863,49.49528,STAR,F9
5.64006,28.98161,53.68913,66.26105,70.5834,STAR,K1
10.06118,23.04216,41.4954,51.01489,52.27246,STAR,F9
4.024498,11.16169,19.36431,24.099,23.9536,STAR,F9
5.442447,11.57419,21.43925,26.95068,27.41866,STAR,F9
12.54718,27.18362,47.18115,58.79895,61.83139,STAR,F9
0.4839758,4.124255,7.729829,8.806094,6.443123,STAR,F9
5.816584,9.639868,16.45203,18.96564,16.97535,STAR,F9
8.688857,19.22836,32.89518,38.79927,38.34031,STAR,F9
1.527822,6.939724,13.49563,16.39384,17.73745,STAR,F9
2.986355,5.140212,9.349847,11.76533,11.53076,STAR,F9
7.884655,32.25307,59.25571,72.97034,79.30808,STAR,F9
5.263937,9.701404,18.22724,22.22877,24.3275,STAR,F9
0.7456592,0.384705,2.365738,19.9501,55.18928,STAR,M6
172.6484,712.3873,1272.703,1515.279,1644.911,STAR,F9
53.26473,232.4723,409.9597,484.2604,514.6313,STAR,F9
151.4494,230.5096,411.6852,491.7338,528.8621,STAR,F9
35.28928,122.0163,205.5609,239.2962,252.6272,STAR,F9
17.58285,73.7185,130.3433,157.5583,169.7086,STAR,F9
233.6698,896.1449,1539.916,1806.582,1916.739,STAR,F9
15.27521,72.29294,123.1272,145.3123,151.1902,STAR,F9
27.61873,72.61688,117.3601,140.072,148.1863,STAR,F9
19.81433,75.27499,130.4048,154.6492,165.9591,STAR,F9
25.29692,96.2207,169.2623,201.9854,210.965,STAR,F9
18.94725,83.96926,144.6758,171.7076,171.6664,STAR,F9
36.97701,119.2898,185.9248,210.8651,205.8566,STAR,F9
18.86917,57.79666,93.12799,109.7642,107.0507,STAR,F9
0.6206681,1.667274,4.38638,6.763634,7.89439,STAR,K3
1.952281,6.919415,14.23846,18.72412,21.43843,STAR,K3
0.7394648,2.80097,6.598836,9.331456,11.41796,STAR,F9
1.870686,5.190388,11.80115,19.98036,28.66082,STAR,M4
2.150537,5.814595,11.70483,15.39548,17.93059,STAR,F9
0.9971712,3.736851,8.206279,10.68058,11.45887,STAR,F9
3.058645,7.816936,15.21659,19.36444,20.97667,STAR,F9
8.58328,29.51769,59.43384,76.75178,88.64445,STAR,K1
4.837689,17.577,34.93414,44.16006,50.44289,STAR,K1
3.917856,12.80661,24.25363,29.97725,33.17896,STAR,F9
1.628961,4.146019,8.087687,10.13373,10.98468,STAR,F9
9.776591,28.83707,55.05779,68.54785,78.3966,STAR,F9
8.913796,28.81845,55.79794,69.2347,77.88554,STAR,K1
3.89011,10.31053,21.2982,27.69158,32.46906,STAR,K1
4.703324,15.32944,29.36274,37.00658,41.54446,STAR,F9
3.401867,8.594142,17.03659,21.77877,24.77415,STAR,F9
1.524017,3.226668,6.982921,9.184332,10.99903,STAR,K3
4.384614,16.07606,31.51631,39.12739,43.88101,STAR,K1
0.9619748,3.686255,7.790265,10.43083,12.22393,STAR,K1
2.169982,7.512643,16.55898,22.42819,27.29608,STAR,F9
1.672219,6.045125,11.90173,14.79781,17.2772,STAR,F9
1.273907,5.828274,11.03842,13.58327,15.97082,STAR,F9
-0.1549433,2.067459,7.147085,44.10333,110.4089,STAR,M5
-0.03767127,0.7207304,3.141713,15.15873,35.28688,STAR,M5
0.6630754,0.7611003,3.358244,19.56006,50.54759,STAR,M5
1.904004,5.930235,26.02369,137.4749,321.6338,STAR,M5
0.5117884,0.9973676,3.623886,19.8805,46.91753,STAR,M5
0.03832471,-0.08694274,2.153413,16.32976,40.67686,STAR,M5
0.7035269,0.5887887,3.152107,22.2944,59.55019,STAR,M6
5.36908,15.44843,27.9831,35.96814,42.29074,STAR,F9
9.502583,29.99837,53.4231,65.77404,72.83167,STAR,F9
14.32744,42.85235,69.34192,82.06477,88.09095,STAR,F9
2.190522,7.960268,14.31227,18.64294,21.81474,STAR,F9
10.96496,35.53449,63.65757,78.65327,86.9343,STAR,F9
3.584095,7.57964,13.06435,16.58039,19.17383,STAR,F9
4.399346,9.059366,15.56585,19.55552,22.15712,STAR,G2
12.97943,33.72151,57.50869,70.60882,77.12146,STAR,F9
4.821297,18.04679,32.52447,40.05526,43.97442,STAR,F9
6.872745,20.2307,34.27254,41.59231,45.29202,STAR,F9
3.742531,8.965078,15.89014,19.52085,22.25034,STAR,F9
12.76431,39.45136,66.12228,79.01048,85.92188,STAR,F9
1.367706,4.248572,6.966906,8.563661,9.106695,STAR,F9
2.02075,5.132877,9.25231,11.57728,14.23956,STAR,F9
