u,g,r,i,z,class,subclass
20.01993,19.83546,20.09374,20.36807,20.28387,STAR,WD
19.98069,19.59539,19.87025,20.04779,20.35611,STAR,WD
20.1878,19.88736,20.11872,20.39497,20.72751,STAR,WD
20.54852,20.23988,20.53205,20.84364,20.66399,STAR,WD
20.18892,19.97558,20.29914,20.57403,20.49288,STAR,WD
19.84921,19.88966,20.18593,20.4188,20.75757,STAR,OB
18.68949,18.69878,18.90896,19.08392,19.36163,STAR,OB
17.87401,18.03498,18.38532,18.66135,19.01063,STAR,OB
18.51655,18.2646,18.50048,18.74472,19.01429,STAR,WD
18.74179,18.79646,19.08061,19.31692,19.66389,STAR,OB
18.95524,18.61638,18.82372,19.02219,19.18245,STAR,WD
19.84427,19.4491,19.68611,19.8849,20.10128,STAR,WD
18.70015,18.71561,19.16827,19.50225,19.76899,STAR,WD
18.31061,18.40672,18.74448,19.0132,19.33519,STAR,OB
20.4769,20.1675,20.42485,20.65591,21.28164,STAR,WD
16.60783,16.68173,17.20456,17.56198,17.75893,STAR,A0p
18.34752,18.00607,18.26612,18.51586,18.86636,STAR,WD
21.84619,21.0761,21.1188,21.16303,21.13758,STAR,WD
20.01889,19.59283,19.71848,19.90453,20.03379,STAR,WD
19.43074,19.2287,19.48649,19.822,20.11849,STAR,WD
16.29628,16.55926,17.03181,17.35337,17.64204,STAR,B9
19.38132,18.94883,19.09547,19.26715,19.44412,STAR,WD
19.97925,19.8594,20.09719,20.41174,20.55204,STAR,B9
19.61217,19.51312,19.74979,20.0513,20.34816,STAR,WD
20.67821,20.20883,20.37371,20.53118,20.40984,STAR,WD
19.32556,19.26987,19.62662,19.9204,20.11054,STAR,WD
19.04032,18.62578,18.80123,19.02086,19.3231,STAR,WD
18.37406,17.98129,18.24631,18.48606,18.70311,STAR,WD
19.22202,19.61775,20.00421,20.28447,20.55562,STAR,L5.5
18.8802,18.3318,18.65363,18.92034,19.07722,STAR,A0p
20.12322,18.46911,17.8063,17.58073,17.46164,STAR,K1
19.76403,19.47788,19.7867,20.01481,20.10551,STAR,WD
18.921,18.91994,19.24066,19.486,19.7609,STAR,WD
17.76727,17.7635,18.09602,18.35568,18.58077,STAR,WD
20.44337,20.3986,20.67621,21.02434,21.09659,STAR,WD
20.21621,19.87167,20.16552,20.46437,20.71908,STAR,WD
20.17816,19.76244,20.03305,20.22698,20.33329,STAR,WD
19.53149,19.27155,19.49016,19.68783,20.08239,STAR,WD
19.26975,19.54586,20.01507,20.41893,20.70077,STAR,WD
15.59924,15.18819,15.32269,15.50594,15.72142,STAR,WD
19.04314,19.06997,19.29843,19.4838,19.68958,STAR,CV
19.59309,19.2091,19.40587,19.61525,19.87547,STAR,WD
16.6791,17.0077,17.39973,17.71572,18.01179,STAR,O
20.83515,19.68695,19.23977,19.19554,19.24066,STAR,F5
19.45421,19.13625,19.40703,19.73565,20.08121,STAR,WD
18.42636,18.15478,18.38892,18.61783,18.88344,STAR,WD
20.049,19.74142,20.07725,20.4035,20.6698,STAR,WD
20.14549,19.42705,19.17764,19.06715,19.07116,STAR,CV
18.99372,19.14211,19.61337,19.99018,20.27435,STAR,WD
17.84641,18.27131,18.77481,19.15847,19.40755,STAR,O
19.43198,19.38377,19.73404,20.0041,20.21556,STAR,WD
19.88596,19.36196,19.19956,19.14407,19.1577,STAR,CV
20.45261,19.04458,18.41859,18.1614,18.0221,STAR,F9
19.84041,19.37197,19.58249,19.69686,19.96653,STAR,WD
19.59527,19.06819,18.90815,18.87866,18.87367,STAR,CV
18.02533,17.66123,17.97839,18.22188,18.37073,STAR,A0p
18.48261,17.95922,18.17601,18.3925,18.6598,STAR,WD
20.09221,19.5286,19.26788,19.19998,19.15651,STAR,CV
19.35486,18.99599,19.21955,19.46537,19.59349,STAR,WD
18.82322,18.92025,19.25036,19.56563,19.76903,STAR,OB
18.94859,18.70631,18.94699,19.23744,19.42336,STAR,WD
19.65887,19.68444,19.94075,20.15248,20.45874,STAR,OB
19.6123,19.42172,19.73586,20.04554,20.51776,STAR,WD
18.94444,18.58055,18.82219,19.00884,19.32897,STAR,WD
19.92272,19.6031,19.95978,20.21921,21.35497,STAR,WD
19.48123,19.05847,19.29919,19.51046,19.58665,STAR,A0
20.137,20.00024,20.23687,20.38535,20.5842,STAR,WD
16.59064,16.85432,17.28202,17.57154,17.86704,STAR,O
17.73302,15.95367,15.25695,14.94379,14.81023,STAR,K1
23.94093,20.87372,19.65784,19.19559,18.95002,STAR,K7
17.88146,18.09243,18.4143,18.60925,18.78513,STAR,B6
20.02641,19.50241,19.56594,19.64256,19.82584,STAR,WD
20.26104,20.41806,20.75327,21.16009,20.8841,STAR,WD
19.0929,18.55095,18.678,18.81341,19.07004,STAR,WD
18.13828,18.42557,18.75781,19.04961,19.30095,STAR,O
19.3405,19.00882,19.22302,19.42796,19.63387,STAR,WD
18.37003,18.272,18.49263,18.64956,18.94972,STAR,O
20.3833,19.43043,19.10035,18.989,19.03471,STAR,F5
19.09876,19.48846,19.99373,20.48873,20.78748,STAR,O
18.90644,18.52478,18.85892,19.09133,19.35097,STAR,WD
20.74635,19.78834,19.36505,19.35896,19.35575,STAR,F5
17.60719,16.96385,16.68906,16.63046,16.66234,STAR,L9
20.66137,19.63757,19.23294,19.21889,19.20401,STAR,G0
18.73559,18.83612,19.28149,19.6157,20.05167,STAR,WD
19.616,19.19952,19.51261,19.80996,19.93309,STAR,A0p
20.82904,20.55542,20.66834,20.90051,21.44072,STAR,WD
19.00717,18.74571,19.09274,19.40739,19.60884,STAR,A0p
20.25082,19.81363,20.03457,20.15573,20.41156,STAR,WD
18.31819,18.35646,18.73953,19.01667,19.26273,STAR,WD
19.6764,19.7395,19.9802,20.22325,20.63995,STAR,OB
18.79972,18.36598,18.52829,18.722,18.96645,STAR,WD
18.76878,18.27532,18.64035,18.8912,19.03956,STAR,A0p
20.84838,20.62788,20.86185,21.1449,21.22735,STAR,WD
21.21212,20.60491,20.71239,20.87579,21.20576,STAR,WD
20.54571,20.2243,20.45217,20.69641,21.33679,STAR,WD
19.60473,19.29655,19.54932,19.7985,20.06457,STAR,WD
18.82614,18.92461,19.06083,19.30679,20.00249,STAR,WD
19.60943,19.83572,20.31191,20.60684,21.1282,STAR,A0p
19.30664,19.31132,19.63523,19.87609,20.1747,STAR,OB
18.55974,18.33226,18.60353,18.86215,19.23529,STAR,WD
19.69703,19.28406,19.53116,19.75312,19.97674,STAR,WD
18.08009,18.35182,18.80361,19.1048,19.47087,STAR,WD
20.01348,19.99434,20.35266,20.74681,21.04468,STAR,WD
19.03718,18.966,19.29342,19.52839,19.91718,STAR,WD
20.08716,20.39332,20.93398,21.33691,21.44023,STAR,B9
22.68864,20.24041,18.83504,18.44515,18.22282,STAR,Carbon_lines
19.35641,19.03735,19.10487,19.24083,19.4179,STAR,WD
19.18736,19.47467,19.99665,20.28014,21.24933,STAR,WD
